Country,Percent
Algeria,16.1
Morocco,10.7
Tunisia,6.9
Angola,10.3
Benin,5.2
Botswana,9.2
Burkina Faso,5.1
Burundi,8.3
Cameroon,6.5
Cape Verde,1.7
Central African Rep.,9.7
Chad,13.8
Congo,17.9
"Congo, Dem. Rep.",6.4
Côte d’Ivoire,5.1
Ethiopia,3.8
Gabon,9.3
Ghana,1.7
Guinea,9.9
Kenya,4.5
Lesotho,3.9
Liberia,1.7
Madagascar,2.9
Malawi,2.7
Mali,12.7
Mauritius,0.6
Mozambique,2.5
Namibia,8.8
Niger,8.8
Nigeria,4.1
Rwanda,5.1
Senegal,6.6
Seychelles,3.6
Sierra Leone,3.4
South Africa,3.1
South Sudan,7.4
Sudan,30.9
Swaziland,5.5
Tanzania,5.8
Togo,6.3
Uganda,8.6
Zambia,5.2
Zimbabwe,7.4
Belize,3.9
Costa Rica,0
Dominican Rep.,3.6
El Salvador,4.1
Guatemala,3
Haiti,0
Honduras,5.8
Jamaica,3.1
Mexico,2.2
Nicaragua,2.2
Panama,0
Trinidad & Tobago,2.6
Canada,3.1
USA,8.8
Argentina,2.2
Bolivia,4.5
Brazil,3.7
Chile,7.2
Colombia,11
Ecuador,6.4
Guyana,4.6
Paraguay,4.7
Peru,4.6
Uruguay,6.3
Venezuela,1.5
Kazakhstan,3.2
Kyrgyzstan,7.8
"China, P.R.",6.1
Japan,2.6
"Korea, South",12.1
Mongolia,2.1
Taiwan,10.5
Afghanistan,3.6
Bangladesh,9.6
India,9.1
Nepal,5.8
Pakistan,16.7
Sri Lanka,11
Brunei,8.6
Cambodia,9
Indonesia,4.8
Malaysia,5
Myanmar,12.4
Philippines,6.9
Singapore,17.2
Thailand,1
Timor Leste,1.7
Viet Nam,7.9
Australia,5.4
Fiji,2.9
New Zealand,3.5
Papua New Guinea,1.7
Albania,1.4
Bosnia-Herzegovina,2.1
Bulgaria,4.4
Croatia,3.1
Czech Rep.,2.6
Estonia,5.2
Hungary,2.1
Kosovo,0
Latvia,4.5
Lithuania,5
"Macedonia, FYR",3.1
Montenegro,3.3
Poland,4.6
Romania,6.2
Serbia,4.2
Slovak Rep.,2.9
Slovenia,2.5
Armenia,15.5
Azerbaijan,10.4
Belarus,25.3
Georgia,7.5
Moldova,1
USSR/Russia,12
Ukraine,7.8
Austria,1.4
Belgium,1.7
Cyprus,5
Denmark,2.2
Finland,2.6
France,4
Germany,2.7
Greece,5
Iceland,0
Ireland,1.3
Italy,3.1
Luxembourg,1.2
Malta,1.4
Netherlands,2.8
Norway,3.4
Portugal,3.9
Spain,3
Sweden,2.2
Switzerland,2
UK,4.7
Bahrain,11.8
Egypt,4.6
Iran,15.8
Iraq,9.4
Israel,11.5
Jordan,15.8
Kuwait,11.3
Lebanon,15.6
Oman,26.3
Saudi Arabia,30.4
Turkey,6.4